id;title;description;due_date;done
1;panda thoroughly;predecease concerning woeful;2024-06-03;true
2;daintily;gee tar;2024-06-03;false
3;supposing lest;underneath frightened and;2024-06-03;false
4;furthermore liar;where ah successfully;2024-06-03;false
5;phooey;thresh mow enchant;2024-06-03;false
6;apropos oof paint;quietly;2024-06-03;true
7;jittery prune;lest squabble;2024-06-02;true
8;twinkle ugh upskill;wrestle although upbeat;2024-06-03;false
9;eye;hmph psst gaseous;2024-06-02;false
10;pfft ugh yesterday;wing;2024-06-03;true
